"Weston Vibes Storage Ottoman","124.99",null,null,231.345,23.655
"Lexmark 200XL  High Yield Ink Cartridge Magenta","35.49",82.66346153846153,90.81081767745802,621.0245454545455,1242.847044866698
"Round Brilliant 0.25 ctw VS2 Clarity, I Color Diamond 14kt White Gold 1/2 Inch Hoop Earrings","679.99",null,null,null,null
"Lifetime® Double Slide Deluxe Playset - Do It Yourself","2,599.99",null,null,null,null
"Micro Flannel® Cal King Sheet Set","59.99",77.32916666666667,33.19803218523987,null,null
"Nine Stars 13.2 & 3.2 Gallon Touchless Motion Sensor Trash Can Set","74.99",104.99,16,58,0
"Lexmark 200XL High Yield Ink Cartridge Yellow","35.49",90.12904761904763,99.4332658671017,65.21666666666667,37.890991306934986
"Innovera 19-20"" Widescreen Antiglare Frameless Monitor Filter LCD Monitor ","55.89",66.42,0,null,null
"Rastelli Market Fresh Cold Water Lobster Tails 6-count, 6 oz. Each","99.99",null,null,null,null
"THRIVE® 8,600 Total Servings 1 Person 1 year Food Storage","1,499.99",null,null,null,null
"Quest 27” Moon Cruiser Skateboard","39.99",48.95666666666667,2.129684379328438,39,0
"Rylie Fabric Sectional Living Room Set","1,299.99",null,null,null,null
"Simmons Kids Tranquil Nights 2 in 1 Organic Crib Mattress","229.99",null,null,509.62,271.531606263433
"Microsoft Office Home and Student 2016  (Product Key Card)","124.99",134.495,4.5049999999999955,34025.44222222222,65465.349980683466
"Spectrum Standard 92 Multipurpose Paper, Letter, 92-Bright, 840 Case/Truckload Pricing ","23.99",null,null,null,null
"Nu-Dell Horizontal Wall Sign Holder 8 1/2 x 11 Clear","9.69",null,null,9,0
"Danielle King Upholstered Headboard - Kiwi Green","279.99",null,null,null,null
"Lighting by Pecaso Tuscana Gold Chandelier","599.99",null,null,null,null
"Popcornopolis® Caramel Cones - Case of 12","42.99",63.422000000000004,20.79958114962895,36,6
"Lexmark 200XL High Yield Ink Cartridge Cyan","35.49",94.583,103.9676879179296,677.6270000000001,1289.9199347870392
"PureGuardian Spa Ultrasonic Aromatherapy Oil Diffuser, 2-pack","79.99",89.99,0,null,null
"Cream Sideless Sheepskin Seat Cover","79.99",104.95,0,99,0
"Generac 10,000W Portable Generator with Electric Start and 20’ Cord","1,999.99",null,null,null,null
"Classic French White 36"" x 80"" Security Door by Titan ","849.99",null,null,null,null
"Office 365 Home – 5 PCs or Macs 2 Pack (Product Key Card, two 1-year Subscriptions)","159.99",169.95,0,null,null
"Costco Copy Paper, Letter, 92-Bright, 840 Case/Truckload Pricing ","27.49",null,null,null,null
"Global Outdoors Faux Wood Fire Table","499.99",619.99,0,323.40500000000003,237.57500000000002
"Jura Impressa S9 One-touch Classic Automatic Coffee Center","1,599.99",1675.7233333333334,197.4733899935775,1381.575,491.57500000000005
"Nu-Dell Vertical Wall Sign Holder 8 1/2 x 11 Clear","9.69",25.235,13.705,6.32,0
"Nara Bamboo Lingerie Chest","1,099.99",null,null,null,null
"DriversEd.com $50 eGift Card","34.99",null,null,12000,0
"Thermo Star 1000 Composter","179.99",230.615,9.375,232,0
"Samsung 5.8CuFt ELECTRIC 5 Burner Slide-in Range with Dual Convection Fans in Black Stainless Steel","1,499.99",null,null,null,null
"Pendleton 5-piece Queen Storage Bedroom Set","2,599.99",null,null,null,null
"Sleep Science Black Diamond 11"" Memory Foam Full Mattress","799.99",null,null,null,null
"Marquise Cut 2.54 ctw VS1 Clarity, Fancy Yellow Diamond Platinum Ring","19,999.99",null,null,null,null
"Reese Queen/Full Upholstered Headboard - Linen","289.99",null,null,null,null
"Sunfire Desert Sand 36"" x 80"" Security Door by Titan ","849.99",null,null,1117,0
"Avery 5-1/2"" x 8-1/2"" Mini Filler Paper, White College Ruled, 100 Sheets","2.89",null,null,null,null
"240 Total Servings of Freeze Dried Cheese Food Storage","199.99",252.925,29.02499999999999,240,13
"Peet's Coffee & Tea Five $20 Gift Cards","79.99",null,null,41.25,34.16412592179112
"Lysol® Toilet Bowl Cleaner 32oz 4ct","9.99",12.758333333333335,1.0368930620957124,10.3825,3.9889370451286896
"Tekk Trainer Multi-Sport Pro Trainer with Bonus Target Net","279.99",314.99,0,359,0
"Lysol® Disinfectant Spray Crisp Linen Scent 4/19 oz","17.99",21.884,1.5804442413448188,27863.930833333332,88999.33974027798
"Divine Hot Tubs Deluxe Leisure Massage 76-jet, 5- or 6-person Spa","4,999.99",null,null,8999,0
"9' LED Solar Market Umbrella in Taupe by Seasons Sentry","269.99",null,null,null,null
"Samsung 5.8CuFt ELECTRIC Slide-in Range with 5 Burners and Dual Convection Fans in Stainless Steel","1,399.99",null,null,null,null
"Sharpie 1810701 Brush Tip Permanent Marker, Assorted 4 ct","5.99",7.24,0,9.25,5.7608593109014565
"Rhinebeck 3-piece Bar Set","2,399.99",null,null,150,40.422765862815474
"Adirondack Collection by Leisure Line","59.99",null,null,null,null
"Sleep Science Black Diamond 11"" Twin Memory Foam Mattress","629.99",null,null,null,null
"Gojo ADX-12 Foam Dispenser Chrome/Black","11.89",26.331666666666667,15.66543904764739,5224.142857142857,9325.584630138615
"Dixie Cold Drink Cup 3oz 1,200ct ","41.99",null,null,9.02,0
"Austin Worklife Office Combo File","849.99",1039.11,0,8,0
"Merritt 42"" Round Conference Table, Bookcase and Lateral File","649.99",795.87,0,null,null
"Spectrum Standard 92 Multipurpose Paper, Letter, 92-Bright, 200 Case/5 Pallet Pricing ","25.99",null,null,null,null
"Purell LTX-12 Hand Sanitizer Foam Refill 1,200ml Clear 2ct GOJ 190502 CT","78.99",88.62,0,null,null
"Hirsh 26.5"" 4-Drawer Vertical File 3-pack - Black","549.99",null,null,null,null
"Mikasa Broadway 16-pc Dinnerware Set","59.99",69.82000000000001,4.93797529357934,66.99666666666667,14.301981991629301
"Epoch Design Nightstand ","199.99",null,null,null,null
"Ancona Glass Canopy 30"" Wall Mount Range Hood","269.99",null,null,364.3875,85.98314060762145
"Amanda Queen/Full Upholstered Headboard - Cream","269.99",null,null,null,null
